Player;Club;Age;Position;Nation;Value;League;MP;Min;Gls;Ast;Yellow Cards;Red Cards;Total Shots;Total Shots on Target;Goal Creating Actions;Touches;Total Successful Dribbles;Total Tackles Won
Patrick Herrmann;Borussia Mönchengladbach;30;attack;Germany;3150000;Bundesliga;27;876;0;3;3;0;19;8;3;458;10;12
Sada Thioub;SCO Angers;26;attack;Senegal;3150000;Ligue 1;27;1256;1;1;0;0;23;6;3;814;38;18
Denis Cheryshev;Valencia CF;30;attack;Russia;3150000;La Liga;21;1101;0;3;3;0;21;5;4;485;8;17
Valon Berisha;Stade Reims;28;midfield;Kosovo;3150000;Ligue 1;24;1645;0;3;2;0;21;3;6;1204;12;27
Sandro Ramirez;Getafe CF;26;attack;Spain;3150000;La Liga;20;1285;5;1;2;0;30;19;4;532;24;11
Emil Krafth;Newcastle;27;Defender;Sweden;3150000;Premier League;16;1288;1;0;4;0;7;3;1;704;2;16
Mathias Pereira Lage;SCO Angers;24;midfield;Portugal;3150000;Ligue 1;28;1467;4;1;5;0;26;9;3;689;20;18
Edu Exposito;SD Eibar;25;midfield;Spain;3150000;La Liga;31;2455;0;3;4;0;41;9;5;1465;42;27
Marcus Ingvartsen;1.FSV Mainz 05;25;attack;Denmark;3150000;Bundesliga;30;1963;3;5;4;0;37;13;9;945;17;14
Etienne Green;AS Saint-Étienne;21;Goalkeeper;England;3150000;Ligue 1;8;720;0;0;0;0;0;0;0;246;0;0
Salih Ozcan;1. FC Köln;23;midfield;Germany;3150000;Bundesliga;28;1371;0;1;3;0;11;5;3;880;7;17
Florian Kainz;1. FC Köln;28;attack;Austria;3150000;Bundesliga;8;447;1;0;0;0;9;3;2;242;9;4
Philipp Forster;VfB Stuttgart;26;midfield;Germany;3150000;Bundesliga;25;1509;3;1;4;0;20;11;5;896;15;22
Dimitri Foulquier;Valencia CF;28;Defender;Guadeloupe;3150000;La Liga;32;2663;0;4;7;0;7;4;5;1396;26;28
Jean-Kevin Duverne;Stade Brestois 29;24;Defender;France;3150000;Ligue 1;27;2029;1;0;4;0;9;1;2;1553;17;24
Christophe Herelle;Stade Brestois 29;29;Defender;Martinique;3150000;Ligue 1;16;1377;0;0;4;0;6;0;0;1029;3;10
Aymen Barkok;Eintracht Frankfurt;23;midfield;Morocco;3150000;Bundesliga;26;977;2;3;5;0;19;6;6;672;20;18
Pere Pons;Deportivo Alavés;28;midfield;Spain;3150000;La Liga;22;1186;2;0;1;0;9;4;1;512;10;19
Michael Hector;Fulham FC;29;Defender;Jamaica;3150000;Premier League;4;263;0;0;2;0;1;0;0;199;2;5
Malick Thiaw;FC Schalke 04;20;Defender;Germany;3150000;Bundesliga;19;1452;1;0;5;1;8;4;0;960;1;20
Oihan Sancet;Athletic Bilbao;21;midfield;Spain;3150000;La Liga;24;1035;2;2;2;0;18;6;4;471;16;9
Sargis Adamyan;TSG 1899 Hoffenheim;28;attack;Armenia;3150000;Bundesliga;18;479;2;3;2;0;21;6;6;249;3;5
Mijat Gacinovic;TSG 1899 Hoffenheim;26;midfield;Serbia;3150000;Bundesliga;23;822;0;2;5;0;13;2;3;563;6;9
Terence Kongolo;Fulham FC;27;Defender;Netherlands;3150000;Premier League;1;90;0;0;0;0;0;0;0;51;0;4
Fabian Delph;Everton FC;31;midfield;England;3150000;Premier League;8;266;0;0;1;0;1;0;0;264;8;2
Gerzino Nyamsi;RC Strasbourg Alsace;24;Defender;France;3150000;Ligue 1;14;871;1;0;2;0;4;1;0;746;3;9
