Player;Club;Age;Position;Nation;Value;League;MP;Min;Gls;Ast;Yellow Cards;Red Cards;Total Shots;Total Shots on Target;Goal Creating Actions;Touches;Total Successful Dribbles;Total Tackles Won
Kylian Mbappe;Paris Saint-Germain;22;attack;France;144000000;Ligue 1;31;2380;27;7;5;0;98;47;28;1442;88;5
Erling Haaland;Borussia Dortmund;21;attack;Norway;117000000;Bundesliga;28;2407;27;6;2;0;90;47;16;762;28;6
Harry Kane;Tottenham Hotspur;28;attack;England;108000000;Premier League;35;3082;23;14;1;0;134;47;25;1396;46;12
Jadon Sancho;Manchester United;21;attack;England;90000000;Premier League;26;2062;8;11;0;0;51;15;22;1791;91;11
Mohamed Salah;Liverpool FC;29;attack;Egypt;90000000;Premier League;37;3078;22;5;0;0;120;46;14;1758;50;13
Neymar;Paris Saint-Germain;29;attack;Brazil;90000000;Ligue 1;18;1415;9;5;7;2;64;16;16;1337;97;10
Kevin De Bruyne;Manchester City;30;midfield;Belgium;90000000;Premier League;25;1997;6;12;1;0;79;25;19;1683;40;31
Romelu Lukaku;Chelsea FC;28;attack;Belgium;90000000;Premier League;36;2884;24;11;4;0;89;42;24;1172;38;5
Joshua Kimmich;Bayern Munich;26;midfield;Germany;81000000;Bundesliga;27;2194;4;10;4;0;37;14;17;2376;22;34
Bruno Fernandes;Manchester United;26;midfield;Portugal;81000000;Premier League;37;3099;18;12;6;0;110;40;27;2705;26;39
Frenkie de Jong;FC Barcelona;24;midfield;Netherlands;81000000;La Liga;37;3154;3;4;5;0;17;6;7;3090;48;26
Raheem Sterling;Manchester City;26;attack;England;81000000;Premier League;31;2536;10;7;4;0;67;28;15;1478;69;18
Son Heung-min;Tottenham Hotspur;29;attack;Korea, South;76500000;Premier League;37;3114;17;10;0;0;68;35;15;1539;38;17
Marcus Rashford;Manchester United;23;attack;England;76500000;Premier League;37;2920;11;9;4;0;79;36;18;1638;88;10
Sadio Mane;Liverpool FC;29;attack;Senegal;76500000;Premier League;35;2810;11;7;3;0;93;35;12;1590;84;32
Phil Foden;Manchester City;21;attack;England;72000000;Premier League;28;1616;9;5;0;0;45;20;14;1069;43;16
Lionel Messi;Paris Saint-Germain;34;attack;Argentina;72000000;Ligue 1;35;3023;30;9;4;0;190;85;38;2918;149;16
Joao Felix;Atlético de Madrid;21;attack;Portugal;72000000;La Liga;31;1572;7;5;6;0;36;14;10;906;34;6
Marcos Llorente;Atlético de Madrid;26;midfield;Spain;72000000;La Liga;37;2956;12;11;6;0;49;22;15;1733;38;44
Lautaro Martinez;Inter Milan;24;attack;Argentina;72000000;Serie A;38;2561;17;6;5;0;108;36;15;1026;37;18
Pedri;FC Barcelona;18;midfield;Spain;72000000;La Liga;37;2415;3;3;2;0;25;7;8;2023;25;34
Matthijs de Ligt;Juventus FC;22;Defender;Netherlands;67500000;Serie A;27;2220;1;1;4;0;19;6;5;1923;5;19
Trent Alexander-Arnold;Liverpool FC;22;Defender;England;67500000;Premier League;36;3031;2;7;2;0;56;11;13;3259;38;36
Marquinhos;Paris Saint-Germain;27;Defender;Brazil;67500000;Ligue 1;25;2128;3;1;2;0;15;8;5;1934;2;18
Ruben Dias;Manchester City;24;Defender;Portugal;67500000;Premier League;32;2843;1;0;4;0;14;7;2;2921;3;21
Mason Mount;Chelsea FC;22;midfield;England;67500000;Premier League;36;2890;6;5;2;0;82;26;14;2293;50;44
Serge Gnabry;Bayern Munich;26;attack;Germany;63000000;Bundesliga;27;1644;10;2;4;0;59;27;11;1110;36;23
Bernardo Silva;Manchester City;27;midfield;Portugal;63000000;Premier League;26;2065;2;6;5;0;28;13;10;1618;41;21
Federico Chiesa;Juventus FC;23;attack;Italy;63000000;Serie A;33;2450;9;9;3;1;69;26;17;1258;43;42
Raphael Varane;Manchester United;28;Defender;France;63000000;Premier League;31;2715;2;0;2;0;17;4;0;2013;7;12
Alphonso Davies;Bayern Munich;20;Defender;Canada;63000000;Bundesliga;23;1763;1;2;2;1;4;3;5;1769;59;38
Rodri;Manchester City;25;midfield;Spain;63000000;Premier League;34;2748;2;2;6;0;31;7;8;3023;29;60
Leon Goretzka;Bayern Munich;26;midfield;Germany;63000000;Bundesliga;24;1705;5;5;2;0;41;13;14;1279;12;28
Kai Havertz;Chelsea FC;22;midfield;Germany;63000000;Premier League;27;1520;4;3;2;0;35;15;8;995;22;11
Mikel Oyarzabal;Real Sociedad;24;attack;Spain;63000000;La Liga;33;2408;11;8;1;0;58;22;19;1291;30;18
Jan Oblak;Atlético de Madrid;28;Goalkeeper;Slovenia;63000000;La Liga;38;3420;0;0;0;0;0;0;1;1077;1;0
Sergej Milinkovic-Savic;SS Lazio;26;midfield;Serbia;63000000;Serie A;32;2746;8;9;4;0;64;21;16;2229;25;46
Casemiro;Real Madrid;29;midfield;Brazil;63000000;La Liga;34;2901;6;4;11;1;45;11;8;2370;16;56
Declan Rice;West Ham United;22;midfield;England;63000000;Premier League;32;2879;2;1;2;0;24;7;3;1800;33;53
Andrew Robertson;Liverpool FC;27;Defender;Scotland;58500000;Premier League;38;3383;1;7;2;0;19;5;15;3543;29;28
Kingsley Coman;Bayern Munich;25;attack;France;58500000;Bundesliga;29;1752;5;10;1;0;52;19;18;1145;66;12
Bukayo Saka;Arsenal FC;19;midfield;England;58500000;Premier League;32;2553;5;3;1;0;61;21;12;1554;42;19
Gianluigi Donnarumma;Paris Saint-Germain;22;Goalkeeper;Italy;58500000;Ligue 1;37;3330;0;0;1;0;0;0;0;1338;2;0
Timo Werner;Chelsea FC;25;attack;Germany;58500000;Premier League;35;2602;6;8;2;0;80;31;19;1176;30;18
Federico Valverde;Real Madrid;23;midfield;Uruguay;58500000;La Liga;24;1330;3;1;0;0;23;8;4;914;25;19
Jack Grealish;Manchester City;25;attack;England;58500000;Premier League;26;2185;6;10;6;0;49;17;21;1423;61;19
Nicolo Barella;Inter Milan;24;midfield;Italy;58500000;Serie A;36;2896;3;7;5;0;36;9;12;2246;39;41
Alessandro Bastoni;Inter Milan;22;Defender;Italy;54000000;Serie A;33;2922;0;3;6;0;11;2;4;2536;7;26
Leroy Sane;Bayern Munich;25;attack;Germany;54000000;Bundesliga;32;1805;6;9;2;0;58;21;21;1168;74;21
Ansu Fati;FC Barcelona;18;attack;Spain;54000000;La Liga;7;431;4;0;1;0;14;7;2;278;15;3
Marc-Andre ter Stegen;FC Barcelona;29;Goalkeeper;Germany;54000000;La Liga;31;2790;0;0;1;0;1;0;0;1091;0;0
Thibaut Courtois;Real Madrid;29;Goalkeeper;Belgium;54000000;La Liga;38;3420;0;0;0;0;0;0;0;1391;0;0
Jose Maria Gimenez;Atlético de Madrid;26;Defender;Uruguay;54000000;La Liga;21;1765;0;0;5;0;15;5;0;1270;1;15
Milan Skriniar;Inter Milan;26;Defender;Slovakia;54000000;Serie A;32;2777;3;0;1;0;15;6;0;2455;6;28
Paul Pogba;Manchester United;28;midfield;France;54000000;Premier League;26;1897;3;3;3;0;31;11;7;1657;45;26
Koke;Atlético de Madrid;29;midfield;Spain;54000000;La Liga;37;3021;1;2;9;0;17;7;6;2766;28;53
Antoine Griezmann;Atlético de Madrid;30;attack;France;54000000;La Liga;36;2604;13;7;4;0;68;30;10;1618;25;28
Jules Kounde;Sevilla FC;22;Defender;France;54000000;La Liga;34;2975;2;1;4;0;21;6;3;2691;32;23
Achraf Hakimi;Paris Saint-Germain;22;Defender;Morocco;54000000;Ligue 1;37;2665;7;8;6;0;38;15;18;1862;37;29
Dayot Upamecano;Bayern Munich;22;Defender;France;54000000;Bundesliga;29;2330;1;0;6;0;12;6;1;2438;10;31
Wilfred Ndidi;Leicester City;24;midfield;Nigeria;54000000;Premier League;26;2176;1;4;6;0;16;1;8;1710;11;73
Robert Lewandowski;Bayern Munich;33;attack;Poland;54000000;Bundesliga;29;2458;41;7;4;0;130;56;18;1050;25;13
Alisson;Liverpool FC;28;Goalkeeper;Brazil;54000000;Premier League;33;2970;1;0;1;0;1;1;0;1227;3;0
Gabriel Jesus;Manchester City;24;attack;Brazil;54000000;Premier League;29;2063;9;4;2;0;54;16;11;1031;45;13
Fabinho;Liverpool FC;27;midfield;Brazil;54000000;Premier League;30;2567;0;0;6;0;10;1;4;2334;5;51
Eduardo Camavinga;Real Madrid;18;midfield;France;49500000;La Liga;35;2402;1;2;6;0;26;8;4;1968;49;70
Joao Cancelo;Manchester City;27;Defender;Portugal;49500000;Premier League;28;2299;2;3;5;1;35;11;10;2402;50;44
Franck Kessie;AC Milan;24;midfield;Cote d'Ivoire;49500000;Serie A;37;3226;13;4;8;0;36;8;10;2440;48;44
Jude Bellingham;Borussia Dortmund;18;midfield;England;49500000;Bundesliga;29;1697;1;3;6;1;34;9;7;1355;31;37
Richarlison;Everton FC;24;attack;Brazil;49500000;Premier League;34;2861;7;3;4;1;82;32;9;1219;62;30
Youri Tielemans;Leicester City;24;midfield;Belgium;49500000;Premier League;38;3357;6;4;6;0;47;18;16;2925;40;56
Marco Verratti;Paris Saint-Germain;28;midfield;Italy;49500000;Ligue 1;21;1492;0;2;7;0;10;5;6;1988;36;33
James Maddison;Leicester City;24;midfield;England;49500000;Premier League;31;2099;8;5;4;0;74;24;11;1407;32;27
Virgil van Dijk;Liverpool FC;30;Defender;Netherlands;49500000;Premier League;5;370;1;0;1;0;4;2;0;353;0;1
David Alaba;Real Madrid;29;Defender;Austria;49500000;La Liga;32;2675;2;4;4;0;21;6;6;2516;14;30
N'Golo Kante;Chelsea FC;30;midfield;France;49500000;Premier League;30;2146;0;2;7;0;10;3;1;1806;29;57
Christian Pulisic;Chelsea FC;22;attack;United States;45000000;Premier League;27;1738;4;2;2;0;43;16;8;1009;46;17
Theo Hernandez;AC Milan;23;Defender;France;45000000;Serie A;33;2933;7;5;9;0;47;13;12;2301;66;43
Dani Olmo;RB Leipzig;23;midfield;Spain;45000000;Bundesliga;32;2194;5;9;1;0;77;21;19;1617;24;22
Stefan de Vrij;Inter Milan;29;Defender;Netherlands;45000000;Serie A;32;2734;1;0;2;0;11;4;2;2167;6;16
Ferran Torres;Manchester City;21;attack;Spain;45000000;Premier League;24;1306;7;2;1;0;36;14;6;620;19;8
Ferland Mendy;Real Madrid;26;Defender;France;45000000;La Liga;26;2208;1;0;3;0;12;2;1;1719;36;17
Tanguy Ndombele;Tottenham Hotspur;24;midfield;France;45000000;Premier League;33;2091;3;2;3;0;18;7;8;1465;70;32
Pau Torres;Villarreal CF;24;Defender;Spain;45000000;La Liga;33;2970;2;2;2;0;8;3;3;2315;29;10
Paulo Dybala;Juventus FC;27;attack;Argentina;45000000;Serie A;20;1132;4;3;0;0;52;15;3;892;27;11
Ederson;Manchester City;28;Goalkeeper;Brazil;45000000;Premier League;36;3240;0;1;3;0;0;0;1;1149;0;0
Piotr Zielinski;SSC Napoli;27;midfield;Poland;45000000;Serie A;36;2523;8;10;2;0;61;25;22;1540;53;15
Roberto Firmino;Liverpool FC;29;attack;Brazil;45000000;Premier League;36;2838;9;7;2;0;83;32;9;1675;50;22
Victor Osimhen;SSC Napoli;22;attack;Nigeria;45000000;Serie A;24;1573;10;3;4;0;64;26;7;477;16;12
Harry Maguire;Manchester United;28;Defender;England;45000000;Premier League;34;3047;2;1;11;0;36;9;6;2500;6;18
Mason Greenwood;Manchester United;19;attack;England;45000000;Premier League;31;1822;7;2;2;0;67;23;5;959;38;12
Ousmane Dembele;FC Barcelona;24;attack;France;45000000;La Liga;30;1774;6;3;2;0;55;20;9;1287;73;10
Kalidou Koulibaly;SSC Napoli;30;Defender;Senegal;43200000;Serie A;26;2209;0;0;10;1;10;1;1;1964;12;29
Lorenzo Insigne;SSC Napoli;30;attack;Italy;43200000;Serie A;35;2865;19;8;2;1;136;40;17;2279;59;12
Anthony Martial;Manchester United;25;attack;France;40500000;Premier League;22;1480;4;3;0;1;43;21;8;702;34;1
Lucas Hernandez;Bayern Munich;25;Defender;France;40500000;Bundesliga;23;1597;0;2;4;0;5;1;4;1518;22;27
Cristiano Ronaldo;Manchester United;36;attack;Portugal;40500000;Premier League;33;2802;29;2;3;0;162;60;16;1462;58;3
Caglar Soyuncu;Leicester City;25;Defender;Turkey;40500000;Premier League;23;1819;1;0;2;0;9;3;0;1564;7;16
Aymeric Laporte;Manchester City;27;Defender;Spain;40500000;Premier League;16;1344;0;0;1;0;6;1;1;1365;3;6
Andre Silva;RB Leipzig;25;attack;Portugal;40500000;Bundesliga;32;2760;28;7;1;0;107;53;14;1143;30;4
Florian Wirtz;Bayer 04 Leverkusen;18;midfield;Germany;40500000;Bundesliga;29;2224;5;6;1;0;31;14;10;1324;62;18
Memphis Depay;FC Barcelona;27;attack;Netherlands;40500000;La Liga;37;2923;20;12;4;0;102;45;29;1736;88;6
Dominic Calvert-Lewin;Everton FC;24;attack;England;40500000;Premier League;33;2871;16;0;3;0;81;46;9;1067;20;12
Ruben Neves;Wolverhampton Wanderers;24;midfield;Portugal;40500000;Premier League;36;2675;5;1;8;0;64;14;2;2326;12;66
Diogo Jota;Liverpool FC;24;attack;Portugal;40500000;Premier League;19;1112;9;0;2;0;46;26;3;638;26;10
Luis Alberto;SS Lazio;28;midfield;Spain;40500000;Serie A;34;2618;9;2;5;0;69;29;5;2262;50;32
Diego Carlos;Sevilla FC;28;Defender;Brazil;40500000;La Liga;33;2788;1;0;11;1;15;5;1;2174;10;20
Mateo Kovacic;Chelsea FC;27;midfield;Croatia;40500000;Premier League;27;1815;0;1;4;0;23;4;4;1934;44;36
Wilfried Zaha;Crystal Palace;28;attack;Cote d'Ivoire;40500000;Premier League;30;2612;11;2;6;0;59;19;12;1250;59;24
Jorginho;Chelsea FC;29;midfield;Italy;40500000;Premier League;28;2010;7;1;2;0;6;0;3;1965;18;38
Alvaro Morata;Juventus FC;28;attack;Spain;40500000;Serie A;32;2014;11;9;3;1;54;23;15;894;27;12
Ben Chilwell;Chelsea FC;24;Defender;England;40500000;Premier League;27;2286;3;5;3;0;27;10;9;2111;18;29
Fabian Ruiz Pena;SSC Napoli;25;midfield;Spain;40500000;Serie A;33;2569;3;1;1;0;43;15;10;2381;20;40
Hirving Lozano;SSC Napoli;26;attack;Mexico;40500000;Serie A;32;1965;11;3;6;0;59;27;10;962;28;20
Christopher Nkunku;RB Leipzig;23;midfield;France;38700000;Bundesliga;28;1892;6;6;2;0;56;26;16;1307;35;17
Houssem Aouar;Olympique Lyon;23;midfield;France;37800000;Ligue 1;30;1781;7;3;3;1;71;25;14;1299;50;11
Marcel Sabitzer;Bayern Munich;27;midfield;Austria;37800000;Bundesliga;27;2026;8;3;8;0;56;21;5;1600;16;27
Riyad Mahrez;Manchester City;30;attack;Algeria;37800000;Premier League;27;1949;9;6;0;0;58;22;14;1332;36;15
Luke Shaw;Manchester United;26;Defender;England;37800000;Premier League;32;2654;1;5;8;0;11;6;11;2294;38;44
Angel Correa;Atlético de Madrid;26;attack;Argentina;36000000;La Liga;38;2393;9;8;3;0;53;23;16;1262;54;30
Mikel Merino;Real Sociedad;25;midfield;Spain;36000000;La Liga;26;2154;2;4;5;0;33;8;8;1516;30;36
Toni Kroos;Real Madrid;31;midfield;Germany;36000000;La Liga;28;2117;3;10;6;0;34;12;13;2339;17;25
Edmond Tapsoba;Bayer 04 Leverkusen;22;Defender;Burkina Faso;36000000;Bundesliga;31;2652;1;0;5;0;17;5;1;3108;18;34
Eden Hazard;Real Madrid;30;attack;Belgium;36000000;La Liga;14;532;3;2;0;0;10;5;3;409;17;0
Wesley Fofana;Leicester City;20;Defender;France;36000000;Premier League;32;2577;0;0;8;0;13;2;1;2207;15;46
Vinicius Junior;Real Madrid;21;attack;Brazil;36000000;La Liga;35;1969;3;3;3;0;42;13;9;1172;60;24
Lorenzo Pellegrini;AS Roma;25;midfield;Italy;36000000;Serie A;34;2598;7;6;10;0;70;26;13;1847;34;38
Eder Militao;Real Madrid;23;Defender;Brazil;36000000;La Liga;14;1133;1;0;3;1;12;3;1;921;2;13
Pierre Hojbjerg;Tottenham Hotspur;26;midfield;Denmark;36000000;Premier League;38;3420;2;4;9;0;14;7;8;3050;25;82
Gerard Moreno;Villarreal CF;29;attack;Spain;36000000;La Liga;33;2673;23;7;3;0;86;35;18;1554;78;13
Alexander Isak;Real Sociedad;21;attack;Sweden;36000000;La Liga;34;2340;17;2;4;0;78;39;6;728;34;10
Tomas Soucek;West Ham United;26;midfield;Czech Republic;36000000;Premier League;38;3419;10;1;7;1;64;23;5;2020;16;50
Nicolo Zaniolo;AS Roma;22;midfield;Italy;36000000;Serie A;;;;;;;;;;;;
Yannick Carrasco;Atlético de Madrid;27;attack;Belgium;36000000;La Liga;30;2179;6;10;6;0;43;25;17;1383;62;23
Presnel Kimpembe;Paris Saint-Germain;26;Defender;France;36000000;Ligue 1;28;2303;0;0;6;1;5;1;1;2164;7;33
Aaron Wan-Bissaka;Manchester United;23;Defender;England;36000000;Premier League;34;3060;2;4;3;0;8;4;8;2511;40;52
Reece James;Chelsea FC;21;Defender;England;36000000;Premier League;32;2373;1;2;3;0;36;12;5;2287;40;36
Christian Eriksen;Inter Milan;29;midfield;Denmark;36000000;Serie A;26;1385;3;0;1;0;30;11;2;1162;10;8
Carlos Soler;Valencia CF;24;midfield;Spain;36000000;La Liga;32;2735;11;8;7;0;29;9;13;1847;23;21
Youssef En-Nesyri;Sevilla FC;24;attack;Morocco;36000000;La Liga;38;2311;18;0;2;0;77;27;8;722;15;17
Lucas Ocampos;Sevilla FC;27;attack;Argentina;36000000;La Liga;34;2631;5;4;3;0;64;15;9;1433;72;29
Dusan Vlahovic;ACF Fiorentina;21;attack;Serbia;36000000;Serie A;37;2923;21;3;1;0;85;34;7;1078;36;5
Mauro Icardi;Paris Saint-Germain;28;attack;Argentina;36000000;Ligue 1;20;1079;7;3;1;0;38;13;6;270;4;3
Rodrigo De Paul;Atlético de Madrid;27;midfield;Argentina;36000000;La Liga;36;3201;9;9;5;2;80;19;20;2579;112;29
Raphael Guerreiro;Borussia Dortmund;27;Defender;Portugal;36000000;Bundesliga;27;2218;5;10;1;0;37;15;16;2393;32;20
Saul Niguez;Chelsea FC;26;midfield;Spain;36000000;Premier League;33;2033;2;1;10;0;33;10;3;1451;12;52
Kalvin Phillips;Leeds United;25;midfield;England;36000000;Premier League;29;2428;1;2;10;0;15;5;1;1770;17;44
Dejan Kulusevski;Juventus FC;21;attack;Sweden;36000000;Serie A;35;1923;4;3;7;0;34;7;6;1047;35;25
Thomas Partey;Arsenal FC;28;midfield;Ghana;36000000;Premier League;27;1734;0;2;6;0;31;4;4;1547;30;37
Marcelo Brozovic;Inter Milan;28;midfield;Croatia;36000000;Serie A;33;2581;2;6;9;1;27;6;10;2518;11;36
Arthur Melo;Juventus FC;25;midfield;Brazil;36000000;Serie A;22;1157;1;0;3;0;3;1;1;1168;16;15
Ilkay Gundogan;Manchester City;30;midfield;Germany;36000000;Premier League;28;2029;13;2;1;0;52;21;10;1908;29;18
Martin Odegaard;Arsenal FC;22;midfield;Norway;36000000;Premier League;21;1100;1;2;0;0;18;3;6;782;13;5
Gio Reyna;Borussia Dortmund;18;midfield;United States;34200000;Bundesliga;32;1976;4;5;1;0;38;12;10;1277;49;23
Tammy Abraham;AS Roma;23;attack;England;34200000;Serie A;22;1040;6;1;0;0;32;13;2;356;6;4
Ismael Bennacer;AC Milan;23;midfield;Algeria;34200000;Serie A;21;1326;0;2;4;0;12;1;6;1138;28;24
Jamal Musiala;Bayern Munich;18;midfield;Germany;34200000;Bundesliga;26;881;6;1;0;0;25;11;6;631;37;15
Moussa Diaby;Bayer 04 Leverkusen;22;attack;France;34200000;Bundesliga;32;2388;4;11;5;0;51;25;17;1252;57;7
Ciro Immobile;SS Lazio;31;attack;Italy;34200000;Serie A;35;2849;20;6;4;1;114;44;18;1241;32;9
Hakim Ziyech;Chelsea FC;28;midfield;Morocco;34200000;Premier League;23;1172;2;3;3;0;35;12;7;873;18;7
Boubacar Kamara;Olympique Marseille;21;midfield;France;33300000;Ligue 1;35;2894;0;2;6;0;20;8;7;2387;28;69
Emi Buendia;Aston Villa;24;attack;Argentina;31500000;Premier League;;;;;;;;;;;;
Lucas Paqueta;Olympique Lyon;24;midfield;Brazil;31500000;Ligue 1;30;2275;9;5;6;1;57;23;15;1595;30;56
Douglas Luiz;Aston Villa;23;midfield;Brazil;31500000;Premier League;33;2781;0;2;10;1;26;7;5;1702;24;43
Rodrigo Bentancur;Juventus FC;24;midfield;Uruguay;31500000;Serie A;33;2324;0;4;8;1;15;5;13;2122;25;45
Moise Kean;Juventus FC;21;attack;Italy;31500000;Serie A;26;1698;13;0;4;0;53;24;2;512;28;9
Benjamin Pavard;Bayern Munich;25;Defender;France;31500000;Bundesliga;24;1943;0;0;3;0;11;3;2;1894;5;26
Domenico Berardi;US Sassuolo;27;attack;Italy;31500000;Serie A;30;2475;17;7;4;0;102;30;17;1684;30;23
Harvey Barnes;Leicester City;23;midfield;England;31500000;Premier League;25;1945;9;4;0;0;55;25;8;934;28;14
Cristian Romero;Tottenham Hotspur;23;Defender;Argentina;31500000;Premier League;31;2545;2;2;10;0;14;7;5;1623;10;46
Marcus Thuram;Borussia Mönchengladbach;24;attack;France;31500000;Bundesliga;29;1731;8;3;3;1;59;20;11;908;41;16
Nicolas Pepe;Arsenal FC;26;attack;Cote d'Ivoire;31500000;Premier League;29;1616;10;1;1;1;48;20;9;929;31;16
Niklas Sule;Bayern Munich;25;Defender;Germany;31500000;Bundesliga;20;1505;1;0;1;0;20;4;4;1472;8;18
Ibrahima Konate;Liverpool FC;22;Defender;France;31500000;Premier League;14;695;1;0;2;0;5;2;0;633;6;5
Pedro Neto;Wolverhampton Wanderers;21;attack;Portugal;31500000;Premier League;31;2550;5;6;4;0;61;21;9;1562;74;18
Manuel Locatelli;Juventus FC;23;midfield;Italy;31500000;Serie A;34;2883;4;2;9;0;41;9;10;3167;24;52
Jose Luis Gaya;Valencia CF;26;Defender;Spain;31500000;La Liga;33;2846;1;7;6;0;22;5;11;1808;32;35
Filip Kostic;Eintracht Frankfurt;28;midfield;Serbia;31500000;Bundesliga;30;2534;4;14;4;0;51;21;24;1951;34;34
Jonathan David;LOSC Lille;21;attack;Canada;31500000;Ligue 1;37;2354;13;2;0;0;55;33;12;877;26;13
Rodrygo;Real Madrid;20;attack;Brazil;31500000;La Liga;22;983;1;6;0;0;26;5;9;583;19;7
Scott McTominay;Manchester United;24;midfield;Scotland;31500000;Premier League;32;2129;4;1;3;0;26;7;3;1581;22;29
Marco Asensio;Real Madrid;25;attack;Spain;31500000;La Liga;35;1869;5;2;1;0;42;11;8;1192;38;10
Emiliano Martinez;Aston Villa;29;Goalkeeper;Argentina;31500000;Premier League;38;3420;0;0;1;0;0;0;1;1380;0;0
Robin Gosens;Atalanta BC;27;Defender;Germany;31500000;Serie A;32;2523;10;6;9;1;50;20;10;1971;16;28
Wissam Ben Yedder;AS Monaco;31;attack;France;31500000;Ligue 1;37;2607;20;7;3;0;68;22;15;1184;37;14
Mario Hermoso;Atlético de Madrid;26;Defender;Spain;31500000;La Liga;31;2578;1;1;6;0;19;5;3;2188;11;37
Lucas Digne;Everton FC;28;Defender;France;31500000;Premier League;30;2681;0;7;2;1;13;0;11;2024;14;40
Angelino;RB Leipzig;24;Defender;Spain;31500000;Bundesliga;26;2161;4;4;2;0;35;13;6;1744;18;18
Andrea Belotti;Torino FC;27;attack;Italy;31500000;Serie A;35;2888;13;6;4;0;102;34;17;1220;51;26
Leon Bailey;Aston Villa;24;attack;Jamaica;31500000;Premier League;30;2141;9;8;6;0;60;23;14;1297;87;12
Hakan Calhanoglu;Inter Milan;27;midfield;Turkey;31500000;Serie A;33;2614;4;9;4;0;84;23;19;1987;35;13
Florian Neuhaus;Borussia Mönchengladbach;24;midfield;Germany;31500000;Bundesliga;33;2622;6;5;9;0;48;17;9;2087;46;31
Jordan Veretout;AS Roma;28;midfield;France;29700000;Serie A;29;2053;10;2;4;0;35;14;7;1474;13;24
Duvan Zapata;Atalanta BC;30;attack;Colombia;29700000;Serie A;37;2379;15;9;0;0;98;38;16;1276;40;6
Nathan Ake;Manchester City;26;Defender;Netherlands;28800000;Premier League;10;797;1;0;4;0;3;1;0;821;0;6
Ollie Watkins;Aston Villa;25;attack;England;28800000;Premier League;37;3328;14;5;4;1;98;45;14;1300;48;22
Kieran Tierney;Arsenal FC;24;Defender;Scotland;28800000;Premier League;27;2299;1;3;4;0;15;3;7;1739;22;17
Naby Keita;Liverpool FC;26;midfield;Guinea;28800000;Premier League;10;520;0;0;1;0;9;2;1;426;12;5
Ante Rebic;AC Milan;27;attack;Croatia;28800000;Serie A;27;1776;11;4;4;1;44;23;13;734;25;18
Callum Hudson-Odoi;Chelsea FC;20;attack;England;28800000;Premier League;23;1059;2;3;0;0;23;6;8;781;15;12
Kurt Zouma;West Ham United;26;Defender;France;28800000;Premier League;24;2029;5;0;3;0;27;12;0;1956;5;13
Davinson Sanchez;Tottenham Hotspur;25;Defender;Colombia;28800000;Premier League;18;1486;0;0;1;0;6;0;1;1176;0;25
Joe Gomez;Liverpool FC;24;Defender;England;27000000;Premier League;7;590;0;0;0;0;0;0;0;591;4;2
Adrien Rabiot;Juventus FC;26;midfield;France;27000000;Serie A;34;2313;4;2;7;1;34;12;7;1760;26;45
Andreas Christensen;Chelsea FC;25;Defender;Denmark;27000000;Premier League;17;1371;0;0;2;1;3;0;1;1245;1;12
Joan Jordan;Sevilla FC;27;midfield;Spain;27000000;La Liga;35;2406;1;6;8;1;23;4;8;2252;37;28
Dani Carvajal;Real Madrid;29;Defender;Spain;27000000;La Liga;13;950;0;2;5;0;10;2;5;940;10;21
John McGinn;Aston Villa;26;midfield;Scotland;27000000;Premier League;37;3330;3;5;12;0;46;11;12;1774;56;46
Adama Traore;Wolverhampton Wanderers;25;attack;Spain;27000000;Premier League;37;2649;2;2;4;0;43;13;6;1317;160;23
James Ward-Prowse;Southampton FC;26;midfield;England;27000000;Premier League;38;3420;8;7;5;0;39;18;11;2989;15;57
Donny van de Beek;Manchester United;24;midfield;Netherlands;27000000;Premier League;19;524;1;1;1;0;2;1;2;343;9;9
Tyrone Mings;Aston Villa;28;Defender;England;27000000;Premier League;36;3194;2;2;6;1;19;7;2;2007;8;18
Thiago Alcantara;Liverpool FC;30;midfield;Spain;27000000;Premier League;24;1854;1;0;4;0;22;5;2;1902;28;43
Gianluca Mancini;AS Roma;25;Defender;Italy;27000000;Serie A;33;2852;4;2;10;0;29;12;3;2292;12;40
Curtis Jones;Liverpool FC;20;midfield;England;27000000;Premier League;24;1179;1;2;2;0;19;8;4;1122;15;16
Nikola Vlasic;West Ham United;23;midfield;Croatia;27000000;Premier League;;;;;;;;;;;;
Matheus Cunha;Atlético de Madrid;22;attack;Brazil;27000000;La Liga;27;2149;7;4;9;0;66;30;9;1194;78;30
Jarrod Bowen;West Ham United;24;attack;England;27000000;Premier League;38;2562;8;5;0;0;55;16;11;1065;40;14
Leander Dendoncker;Wolverhampton Wanderers;26;midfield;Belgium;27000000;Premier League;33;2503;1;0;4;0;32;8;6;1444;11;29
Thomas Muller;Bayern Munich;31;attack;Germany;27000000;Bundesliga;32;2674;11;19;0;0;48;16;29;1889;35;33
Ruslan Malinovskyi;Atalanta BC;28;midfield;Ukraine;27000000;Serie A;36;1876;8;12;3;0;69;23;17;1443;53;17
Ricardo Pereira;Leicester City;27;Defender;Portugal;27000000;Premier League;15;959;0;1;3;0;7;4;2;692;20;18
Matthias Ginter;Borussia Mönchengladbach;27;Defender;Germany;27000000;Bundesliga;34;3060;2;1;2;0;22;8;5;2683;10;18
John Stones;Manchester City;27;Defender;England;27000000;Premier League;22;1933;4;0;0;1;15;5;1;1878;9;12
